id,title,seller_id,price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,date_created,last_updated,start_time,stop_time
MLA1366886749,Roku Premiere 3920rw 4k Hdr Streaming Youtube Netflix Disney,52270943,27299.0,ARS,14,1,5,new,2023-04-21T18:17:32.000Z,2023-08-05T23:33:35.000Z,2023-04-21T18:17:32.000Z,2043-04-16T04:00:00.000Z
MLA1341128892,Roku Premier 3920r Smart Tv 4k Hdr Hdmi Netflix Streaming,37761986,29899.0,ARS,29,1,25,new,2023-02-09T17:32:00.000Z,2023-08-05T13:00:56.000Z,2023-02-09T17:31:59.000Z,2043-02-04T04:00:00.000Z
MLA1142896164,Roku Stick 4k Streaming Tv Hdr Dolby Vision C/control Remoto,576310358,59999.0,ARS,120,1,50,new,2022-06-16T16:41:39.000Z,2023-08-03T23:02:08.000Z,2022-06-16T16:41:39.000Z,2043-07-22T20:55:38.000Z
MLA1408783256,Roku Streaming 3940mx 4k Control Remoto Disney Netflix,199764973,58467.0,ARS,38,1,0,new,2023-05-03T00:58:30.000Z,2023-08-04T03:13:42.000Z,2023-05-03T00:58:30.000Z,2043-04-27T04:00:00.000Z
MLA906975107, Roku Express 3930  Estándar Full Hd Negro Youtube Netflix,579983671,27999.0,ARS,163,1,50,new,2021-02-03T16:45:14.000Z,2023-08-05T15:28:39.568Z,2021-02-03T16:45:13.000Z,2041-01-29T04:00:00.000Z
MLA1114028605,Roku Premier Transmisión Hd 4k Hdr Streaming Netflix 3920rw,701293922,44999.0,ARS,93,1,50,new,2021-11-28T15:19:55.000Z,2023-08-03T13:07:06.000Z,2021-11-28T15:19:54.000Z,2041-11-23T04:00:00.000Z
MLA909543217,Roku Premier Transmision Hd 4k Hdr Streaming Netflix  ,309453406,59999.0,ARS,1002,500,0,new,2021-02-24T18:20:55.000Z,2023-08-03T12:54:01.000Z,2021-02-24T18:20:55.000Z,2041-02-19T04:00:00.000Z
MLA1142829941,Roku Stick 4k Streaming Tv Hdr Dolby Vision C/control Remoto,497345251,59999.0,ARS,68,1,25,new,2022-06-16T17:22:24.000Z,2023-08-04T20:43:56.000Z,2022-06-16T17:22:23.000Z,2043-07-22T20:52:04.000Z
MLA1408961732,Roku Streaming 3940mx 4k Control Remoto Disney Netflix,97106107,58467.0,ARS,38,1,0,new,2023-05-03T02:58:56.000Z,2023-08-03T23:21:35.000Z,2023-05-03T02:58:56.000Z,2043-04-27T04:00:00.000Z
MLA1156175819,Roku Express 3930 Estándar Full Hd 32mb Negro 512mb Ram,69541508,41999.0,ARS,12,1,5,new,2022-08-22T13:47:29.000Z,2023-08-05T20:34:33.000Z,2022-08-22T13:47:29.000Z,2042-08-17T04:00:00.000Z
MLA1257450680,Roku Premiere 4k Hd Smart Tv Hdmi Remoto Wifi Netflix Hbo+,53971387,43999.0,ARS,25,1,5,new,2022-11-23T22:03:46.000Z,2023-08-03T13:00:33.000Z,2022-11-23T22:03:46.000Z,2042-11-18T04:00:00.000Z
MLA1223904561,Roku Premier 3920r Smart Tv 4k Hdr Hdmi Netflix Disney,24528652,30499.0,ARS,9,1,5,new,2022-11-03T20:41:56.000Z,2023-08-05T16:51:15.000Z,2022-11-03T20:41:56.000Z,2042-10-29T04:00:00.000Z
MLA1130176504,Roku Stick 4k 2021 3820r Netflix Prime Video Disney + Fhd,309453406,49999.0,ARS,1018,500,5,new,2022-03-31T17:32:33.000Z,2023-08-01T18:48:25.268Z,2022-03-31T17:32:33.000Z,2042-03-26T04:00:00.000Z
MLA1127305088,Roku Express 3930mx Streaming Box Con Control Remoto,63561913,36799.0,ARS,28,1,5,new,2022-03-11T21:00:48.000Z,2023-08-05T22:34:06.349Z,2022-03-11T21:00:48.000Z,2042-03-06T04:00:00.000Z
